board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender
Arbor Annex,https://thegoodride.com/snowboard-reviews/arbor-annex-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Great,Great,Great,Great,Average,Good,Poor,Good,['2021'],mens
Arbor Bryan Iguchi Pro Camber,https://thegoodride.com/snowboard-reviews/arbor-bryan-iguchi-pro-camber-2017-2021-snowboard-review,None,All Mountain,Intermediate - Expert,8-10,Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Great,Good,Great,Poor,Great,"['2017', '2021']",mens
Arbor Bryan Iguchi Pro Rocker,https://thegoodride.com/snowboard-reviews/arbor-bryan-iguchi-pro-rocker-snowboard-review,It´s OK,All Mountain,Beginner - Advanced,8-10,Dubai by SWS,Tapered Directional,Continuous Rocker,Centered,Feels Normal,Good,Average,Average,Average,Great,Good,Good,Good,Good,[],mens
Arbor Cask,https://thegoodride.com/snowboard-reviews/arbor-cask-2019-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Heavy,Great,Great,Good,Good,Good,Poor,Average,Poor,Good,['2019'],mens
Arbor Clovis,https://thegoodride.com/snowboard-reviews/arbor-clovis-2017-2019-snowboard-review,Not for us,Freeride,Intermediate - Expert,"< 8, 8-10",Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Heavy,Good,Great,Good,Good,Great,Good,Good,Average,Good,"['2017', '2019']",mens
Arbor Coda Camber,https://thegoodride.com/snowboard-reviews/arbor-coda-camber-2016-2019-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Dubai by SWS,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Good,Great,Good,Good,Great,Excellent,Good,Great,"['2016', '2019']",mens
Arbor Cosa Nostra,https://thegoodride.com/snowboard-reviews/arbor-cosa-nostra-2017-snowboard-review,Pretty Good,Powder,Beginner - Advanced,8-10,Dubai by SWS,Tapered Directional,Continuous Rocker,Setback -20mm,Feels Normal,Great,Average,Average,Good,Great,Average,Average,Average,Average,['2017'],mens
Arbor Crosscut Camber,https://thegoodride.com/snowboard-reviews/arbor-crosscut-camber-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Great,Great,Great,Great,Average,Good,Poor,Poor,['2021'],mens
Arbor  Element,https://thegoodride.com/snowboard-reviews/arbor-element-2010-2017-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Dubai by SWS,Directional Twin,Continuous Rocker,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Good,"['2010', '2017']",mens
Arbor Element Camber,https://thegoodride.com/snowboard-reviews/arbor-element-camber-2021-snowboard-review,None,All Mountain Freestyle,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Directional Twin,Mostly Camber,Centered,Feels Normal,Poor,Great,Great,Great,Great,Great,Great,Average,Great,['2021'],mens
Arbor  Formula,https://thegoodride.com/snowboard-reviews/arbor-formula-2016-2021-snowboard-review,Pretty Good,All Mountain Freestyle,Beginner - Intermediate,8-10,Dubai by SWS,Directional Twin,Continuous Rocker,Centered,Feels Heavy,Average,Average,Average,Average,Good,Great,Good,Good,Good,"['2016', '2021']",mens
Arbor Wasteland Camber,https://thegoodride.com/snowboard-reviews/arbor-wasteland-camber-2021-snowboard-review,None,All Mountain Freestyle,Expert,8-10,Dubai by SWS,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Great,Great,Great,Excellent,Average,Excellent,['2021'],mens
Arbor Westmark Camber,https://thegoodride.com/snowboard-reviews/arbor-westmark-camber-snowboard-review,Liked it!,Freestyle,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Good,Great,Great,Good,Great,[],mens
Bataleon Evil Twin,https://thegoodride.com/snowboard-reviews/bataleon-evil-twin-2020-snowboard-review,None,All Mountain Freestyle,Beginner - Expert,8-10,Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,['2020'],mens
Bataleon  Goliath,https://thegoodride.com/snowboard-reviews/bataleon-goliath-2020-snowboard-review,None,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,['2020'],mens
Bataleon Party Wave,https://thegoodride.com/snowboard-reviews/bataleon-party-wave-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Good,Good,Average,['2020'],mens
Bataleon Surfer LTD,https://thegoodride.com/snowboard-reviews/bataleon-surfer-ltd-2020-snowboard-review,None,Powder,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Excellent,Average,Average,Good,Good,Poor,Good,Average,Average,['2020'],mens
Burton 3D Kilroy Camber,https://thegoodride.com/snowboard-reviews/burton-3d-kilroy-camber-2021-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional,Hybrid Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Good,Good,Good,Good,Great,Average,['2021'],mens
Burton Antler,https://thegoodride.com/snowboard-reviews/burton-antler-2017-purepop-camber-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,China,Twinish,Mostly Camber,Centered,Feels Light,Poor,Good,Great,Good,Good,Good,Great,Average,Great,['2017'],mens
Burton Big Gulp,https://thegoodride.com/snowboard-reviews/burton-big-gulp-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback -12.5mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Poor,Average,['2021'],mens
Burton Blunt,https://thegoodride.com/snowboard-reviews/burton-blunt-2010-2017-snowboard-review,It´s OK,Freestyle,Beginner - Advanced,"8-10, 10-12",China,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Average,Average,Average,Great,Great,Good,Good,Poor,"['2010', '2017']",mens
Burton Branch Manager,https://thegoodride.com/snowboard-reviews/burton-branch-manager-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Good,Great,Great,Great,Average,Good,Poor,Good,['2017'],mens
Burton CK Nug,https://thegoodride.com/snowboard-reviews/burton-ck-nug-2017-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"8-10, 10-12",China,Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Average,Good,Good,Good,Great,Average,Good,Good,Good,['2017'],mens
Burton  Clash,https://thegoodride.com/snowboard-reviews/burton-clash-2010-2017-snowboard-review,It´s OK,All Mountain,Beginner - Intermediate,8-10,China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Good,Average,Poor,Average,Great,Average,Average,Good,Average,"['2010', '2017']",mens
Burton Con Artist,https://thegoodride.com/snowboard-reviews/burton-con-artist-2018-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Vermont at Burton,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Excellent,Great,Good,Excellent,Good,Good,Poor,Good,['2018'],mens
Burton Custom,https://thegoodride.com/snowboard-reviews/burton-custom-2010-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"8-10, 10-12, > 12",China,Twinish,Traditional Camber,Setback -12.5mm,Feels Normal,Average,Excellent,Great,Great,Good,Good,Great,Average,Good,"['2010', '2020']",mens
Burton Custom Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-flying-v-2010-2018-snowboard-review,Pretty Good,All Mountain,Beginner - Expert,"8-10, 10-12, > 12",China,Twinish,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Good,Average,Good,Great,Good,Great,Good,Average,"['2010', '2018']",mens
Burton Custom Twin,https://thegoodride.com/snowboard-reviews/burton-custom-twin-2017-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,China,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Great,Great,Great,Great,Excellent,Average,Good,['2017'],mens
Burton Custom Twin Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-twin-flying-v-2015-2017-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,8-10,China,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Average,Good,Great,Great,Great,Good,Average,"['2015', '2017']",mens
Burton Custom X,https://thegoodride.com/snowboard-reviews/burton-custom-x-2010-2017-snowboard-review,Liked it!,All Mountain,Advanced - Expert,"8-10, 10-12",Austria,Directional,Traditional Camber,Setback over 20mm,Feels Light,Average,Excellent,Excellent,Great,Good,Average,Good,Average,Good,"['2010', '2017']",mens
Burton Custom X Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-x-flying-v-2017-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Expert,8-10,China,Directional,Hybrid Rocker,Setback -12.5mm,Feels Light,Good,Good,Average,Good,Great,Good,Good,Average,Good,"['2017', '2020']",mens
Burton Deep Thinker,https://thegoodride.com/snowboard-reviews/burton-deep-thinker-2018-2020-snowboard-review,Pretty Good,Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Average,Good,Great,Poor,Good,"['2018', '2020']",mens
Burton Dump Truck,https://thegoodride.com/snowboard-reviews/burton-dump-truck-2018-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Average,Good,Poor,Good,['2018'],mens
Burton Fish,https://thegoodride.com/snowboard-reviews/burton-fish-2010-2018-snowboard-review,Liked it!,Powder,Advanced - Expert,10-12,Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Great,Poor,Average,Poor,Average,"['2010', '2018']",mens
Burton Flight Attendant,https://thegoodride.com/snowboard-reviews/burton-flight-attendant-2015-2020-snowboard-review,Loved it!,Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Good,Good,Poor,Good,"['2015', '2020']",mens
Burton Free Thinker,https://thegoodride.com/snowboard-reviews/burton-free-thinker-2018-2019-snowboard-review,Not for us,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Great,Great,Average,Great,Great,Average,Good,"['2018', '2019']",mens
Burton Gate Keeper,https://thegoodride.com/snowboard-reviews/burton-gate-keeper-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,10-12,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Average,Good,['2017'],mens
Burton Hometown Hero,https://thegoodride.com/snowboard-reviews/burton-hometown-hero-2020-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Good,Great,Average,Great,Average,Good,"['2020', '2021']",mens
Burton Kilroy Custom,https://thegoodride.com/snowboard-reviews/burton-kilroy-custom-2018-2019-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,8-10,China,Directional,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Great,Good,Good,Great,Average,Good,"['2018', '2019']",mens
Burton Kilroy Pow Camber,https://thegoodride.com/snowboard-reviews/burton-kilroy-pow-camber-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,['2021'],mens
Burton Kilroy Process,https://thegoodride.com/snowboard-reviews/burton-kilroy-process-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12, > 12",China,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Good,Good,Great,Great,Average,Great,['2019'],mens
Burton Kilroy Twin Camber,https://thegoodride.com/snowboard-reviews/burton-kilroy-twin-camber-2021-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,China,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Good,Good,Good,Great,Great,Good,Good,['2021'],mens
Burton Landlord,https://thegoodride.com/snowboard-reviews/burton-landlord-2014-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Average,Poor,Average,"['2014', '2017']",mens
Burton Leader Board,https://thegoodride.com/snowboard-reviews/burton-leader-board-2020-snowboard-reveiw,None,Freeride,Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Excellent,Average,Average,Good,Poor,Good,['2020'],mens
Burton Led Zeppelin X Easy Livin,https://thegoodride.com/snowboard-reviews/burton-led-zeppelin-x-easy-livin-2017-snowboard-review,Not for us,All Mountain Freestyle,Advanced - Expert,10-12,China,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Average,Great,Good,Average,Good,['2017'],mens
Burton Modified Fish,https://thegoodride.com/snowboard-reviews/burton-modified-fish-2016-2017-snowboard-review,Liked it!,Powder,Intermediate - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Great,Good,Average,Average,Average,Average,"['2016', '2017']",mens
Burton Name Dropper,https://thegoodride.com/snowboard-reviews/burton-name-dropper-2014-2017-snowboard-review,Liked it!,Jib / Street,Intermediate - Expert,8-10,China,Asymmetrical Twin,Flat to Rocker,Centered,Feels Light,Average,Average,Poor,Average,Great,Great,Good,Excellent,Poor,"['2014', '2017']",mens
Burton One-Hitter,https://thegoodride.com/snowboard-reviews/burton-one-hitter-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,10-12,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Good,Great,Poor,Average,['2020'],mens
Burton Panhandler,https://thegoodride.com/snowboard-reviews/burton-panhandler-2018-snowboard-review,Liked it!,Powder,Intermediate - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Good,Great,Poor,Average,Poor,Average,['2018'],mens
Burton Process,https://thegoodride.com/snowboard-reviews/burton-process-2011-2018-snowboard-review,Pretty Good,All Mountain,Intermediate - Expert,"8-10, 10-12",China,True Twin,Traditional Camber,Setback -12.5mm,Feels Normal,Poor,Good,Good,Great,Good,Great,Great,Average,Good,"['2011', '2018']",mens
Burton Process Flying V,https://thegoodride.com/snowboard-reviews/burton-process-flying-v-2011-2018-snowboard-review,Pretty Good,All Mountain,Beginner - Expert,"8-10, 10-12",Austria,Directional Twin,Hybrid Rocker,Setback -12.5mm,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,"['2011', '2018']",mens
Burton Process Off Axis,https://thegoodride.com/snowboard-reviews/burton-process-off-axis-2015-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",China,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Great,Good,Great,Great,Average,Good,"['2015', '2018']",mens
Burton Sensei,https://thegoodride.com/snowboard-reviews/burton-sensei-2021-snowboard-review,None,Freeride,Advanced - Expert,"< 8, 8-10",Austria,Directional,Traditional Camber,Setback -20mm,Feels Normal,Good,Great,Great,Good,Good,Average,Good,Poor,Average,['2021'],mens
Burton Skeleton Key,https://thegoodride.com/snowboard-reviews/burton-skeleton-key-2017-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Good,Great,Average,Good,Average,Good,"['2017', '2020']",mens
Burton Speed Date,https://thegoodride.com/snowboard-reviews/burton-speed-date-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"< 8, 8-10",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Good,Poor,Good,['2019'],mens
Burton Straight Chuter,https://thegoodride.com/snowboard-reviews/burton-straight-chuter-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Poor,Good,Poor,Average,['2021'],mens
Burton Stun Gun,https://thegoodride.com/snowboard-reviews/burton-stun-gun-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Good,Poor,Good,['2019'],mens
Burton Super Bueno,https://thegoodride.com/snowboard-reviews/burton-super-bueno-2020-snowboard-review,None,Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Average,Great,Poor,Good,['2020'],mens
Burton Trick Pilot,https://thegoodride.com/snowboard-reviews/burton-trick-pilot-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,Austria,True Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Good,Great,Great,Average,Good,['2019'],mens
Burton Trick Pony,https://thegoodride.com/snowboard-reviews/burton-trick-pony-2014-2018-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"10-12, > 12",Austria,Directional Twin,Hybrid Camber,Setback -12.5mm,Feels Light,Average,Good,Great,Great,Good,Great,Great,Average,Good,"['2014', '2018']",mens
Burton Working Stiff,https://thegoodride.com/snowboard-reviews/burton-working-stiff-2018-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Good,Good,Good,['2018'],mens
Capita Asymulator,https://thegoodride.com/snowboard-reviews/capita-asymulator-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,Austria at The Mothership,Asymmetrical Twin,Mostly Camber,Centered,Feels Light,Average,Great,Good,Good,Good,Excellent,Great,Good,Great,['2020'],mens
Capita Black Snowboard of Death,https://thegoodride.com/snowboard-reviews/capita-black-snowboard-of-death-2010-2020-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Good,Great,Good,Great,Great,Good,Good,Average,Good,"['2010', '2020']",mens
Capita Charlie Slasher,https://thegoodride.com/snowboard-reviews/capita-charlie-slasher-2010-2017-snowboard-review,Pretty Good,Powder,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback -20mm,Feels Normal,Good,Average,Average,Good,Good,Average,Average,Poor,Average,"['2010', '2017']",mens
Capita  Defenders Of Awesome,https://thegoodride.com/snowboard-reviews/capita-defenders-of-awesome-2013-2020-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Poor,Average,Average,Good,Good,Great,Great,Average,Good,"['2013', '2020']",mens
Capita Horrorscope,https://thegoodride.com/snowboard-reviews/capita-horrorscope-2017-2019-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,"8-10, 10-12",Austria by The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Good,Great,Average,"['2017', '2019']",mens
Capita  Indoor Survival,https://thegoodride.com/snowboard-reviews/capita-indoor-survival-2010-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,8-10,Austria,True Twin,Flat to Rocker,Centered,Feels Heavy,Average,Average,Average,Good,Great,Great,Average,Good,Average,"['2010', '2018']",mens
Capita Kazu Kokubo Pro,https://thegoodride.com/snowboard-reviews/capita-kazu-kokubo-pro-2017-2019-snowboard-review,Pretty Good,Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Good,"['2017', '2019']",mens
Capita Mercury,https://thegoodride.com/snowboard-reviews/capita-mercury-2016-2019-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,"8-10, 10-12",Austria at The Mothership,Directional,Hybrid Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Great,"['2016', '2019']",mens
Capita Navigator,https://thegoodride.com/snowboard-reviews/capita-navigator-2019-snowboard-review,Liked it!,Powder,Intermediate - Expert,"< 8, 8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Great,Average,Good,Average,Average,['2019'],mens
Capita Outerspace Living,https://thegoodride.com/snowboard-reviews/capita-outerspace-living-2017-2020-snowboard-review,Loved it!,All Mountain Freestyle,Beginner - Expert,"< 8, 8-10, 10-12",Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Average,Great,Great,Good,Good,Good,"['2017', '2020']",mens
Capita Outsiders,https://thegoodride.com/snowboard-reviews/capita-outsiders-2014-2020-snowboard-review,None,Freestyle,Advanced - Expert,8-10,Austria by The Mothership,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Great,Great,Great,Good,Good,"['2014', '2020']",mens
Capita Scott Stevens Pro,https://thegoodride.com/snowboard-reviews/capita-scott-stevens-pro-2015-2019-review,Loved it!,Jib / Street,Intermediate - Expert,8-10,Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Light,Poor,Average,Average,Average,Good,Great,Average,Excellent,Average,"['2015', '2019']",mens
Capita Spring Break Powder 151 Mini Tree Hunter,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-151-mini-tree-hunter-snowboard-review,None,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Good,Average,Good,Average,Average,[],mens
Capita Spring Break Powder 161 Tree Hunter,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-161-tree-hunter-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Excellent,Average,Poor,Good,Great,Average,Good,Poor,Poor,[],mens
Capita Spring Break Powder 167 Night Hawk,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-167-night-hawk-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Excellent,Average,Average,Great,Average,Average,Good,Poor,Poor,[],mens
Capita Spring Break Powder Drifter 154,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-drifter-154-snowboard-review,None,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Great,Average,Good,Good,Average,[],mens
Capita Spring Break Powder Glider,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-glider-snowboard-review,Loved it!,Powder,Intermediate - Expert,8-10,Austria at The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Excellent,Good,Average,Good,Great,Poor,Good,Average,Average,[],mens
